mode,time,filtered_x,filtered_y,gt_x,gt_y,position_error,yaw_error_rad
odom,195.69,-0.000601677820441674,1.2109085220641452e-08,-0.0006349466270894055,-0.0003253647717849084,0.00032707327634727096,5.47178339605909e-05
odom,195.75,-0.0006017830457377236,1.2110511561187162e-08,-0.0006350985485523708,-0.0003253619780219097,0.00032707525161158207,5.471489348938439e-05
odom,195.83,-0.0006019426352504965,1.2112674547110374e-08,-0.0006352505039961542,-0.0003253591841052561,0.00032707169686255146,5.471270452058421e-05
odom,195.89,-0.0006020572435009923,1.2114227662157724e-08,-0.000635326494466959,-0.00032535778708941976,0.00032706637819091716,5.471234458641892e-05
odom,195.95,-0.000602171246742899,1.2115772397973218e-08,-0.0006354785009099473,-0.0003253549929405075,0.00032706746798228655,5.471023886572613e-05
odom,196.03,-0.0006023231607317607,1.2117830547196972e-08,-0.0006356305413737218,-0.0003253521986379404,0.0003270647031341576,5.470875193406446e-05
odom,196.09,-0.0006024371088245291,1.211937412586152e-08,-0.0006357065743669565,-0.00032535080142892525,0.0003270594557125222,5.4708565986128453e-05
odom,196.15,-0.0006025510753306752,1.2120917779724056e-08,-0.0006358586658894438,-0.00032534800689498766,0.0003270605576329419,5.470645772920371e-05
odom,196.23,-0.0006027030603419819,1.2122976115902512e-08,-0.0006360107914682445,-0.0003253452122069511,0.00032705779383804023,5.470485991188772e-05
odom,196.29,-0.0006028170714464807,1.212451996749604e-08,-0.0006360868670345354,-0.00032534381480520125,0.00032705254402409686,5.470457679669939e-05
odom,196.35,-0.0006029311017197979,1.2126063904425477e-08,-0.0006362390437306686,-0.0003253410198862383,0.0003270536478632434,5.4702383427855864e-05
odom,196.43,-0.0006030831719149161,1.21281226197215e-08,-0.0006363912545248596,-0.0003253382248136205,0.0003270508836907292,5.470069662369786e-05
odom,196.49,-0.0006031972469431958,1.2129666755729087e-08,-0.0006364673727130565,-0.0003253368272200241,0.0003270456313972991,5.470036410171399e-05
odom,196.55,-0.0006033113411632694,1.2131210977058127e-08,-0.0006366196346814235,-0.0003253340319164799,0.0003270467371475358,5.469813486898804e-05
odom,196.63,-0.0006034634966555827,1.2133270071589569e-08,-0.0006367719307842634,-0.00032533123645928086,0.00032704397259536027,5.469641435689911e-05
odom,196.69,-0.0006035776356827854,1.2134814492100196e-08,-0.0006368480916414399,-0.0003253298386733938,0.0003270387178189901,5.46960641742683e-05
odom,196.75,-0.0006036917939240672,1.2136358998033905e-08,-0.0006370004389779638,-0.00032532704298615656,0.0003270398254835412,5.469382331774875e-05
odom,196.83,-0.0006038440348127393,1.213841847224044e-08,-0.0006371528204889287,-0.0003253242471457085,0.0003270370605530627,5.4692092097823004e-05
odom,196.89,-0.0006039582379130032,1.2139963177679396e-08,-0.0006372290240648226,-0.00032532284916753085,0.0003270318032911147,5.469173623690759e-05
odom,196.95,-0.0006040724602496833,1.2141507968706812e-08,-0.0006373814568654268,-0.0003253200530974887,0.0003270329128732318,5.4689492448392195e-05
odom,197.03,-0.0006042247866333338,1.2143567823307505e-08,-0.0006375339238804401,-0.00032531725687379165,0.0003270301475641767,5.4687758454177054e-05
odom,197.09,-0.0006043390538804952,1.2145112814250087e-08,-0.0006376101702221249,-0.0003253158587046556,0.0003270248878150988,5.4687400932776074e-05
odom,197.15,-0.0006044533403862084,1.2146657890966393e-08,-0.0006377626885836207,-0.0003253130622509204,0.0003270259993164125,5.468515707945356e-05
odom,197.23,-0.0006046057523629262,1.214871812677809e-08,-0.0006379152411968292,-0.00032531026564441845,0.0003270232336288226,5.4683422887636494e-05
odom,197.29,-0.0006047200838307633,1.2150263403852512e-08,-0.0006379915303531547,-0.00032530886728388,0.00032701797138948266,5.468306499729085e-05
odom,197.35,-0.0006048344345787735,1.2151808766886362e-08,-0.0006381441343732419,-0.0003253060704491162,0.00032701908481528566,5.468082199064448e-05
odom,197.43,-0.0006049869322460974,1.2153869384753184e-08,-0.0006382967726823452,-0.00032530327346025345,0.00032701631874962046,5.46790884195351e-05
odom,197.49,-0.0006051013280073824,1.215541494859131e-08,-0.0006383731047012731,-0.0003253018749087566,0.00032701105401778194,5.4678730568092114e-05
odom,197.55,-0.0006052157430707912,1.215696059858125e-08,-0.0006385257944740985,-0.00032529907769118793,0.0003270121693686042,5.467648869712856e-05
odom,197.63,-0.0006053683265255913,1.2159021599348589e-08,-0.0006386785185759081,-0.00032529628032218483,0.00032700940292706797,5.467475600267523e-05
odom,197.69,-0.0006054827866527637,1.2160567450582531e-08,-0.0006387548935045118,-0.0003252948815801737,0.00032700413570043785,5.467439831921027e-05
odom,197.75,-0.0006055972661038819,1.2162113388159316e-08,-0.0006389076691268869,-0.0003252920839811324,0.0003270052529802533,5.46721576740529e-05
odom,197.83,-0.0006057499354425775,1.2164174772668546e-08,-0.000639060479117326,-0.0003252892862302126,0.00032700248616102963,5.467042593876251e-05
odom,197.89,-0.0006058644600079173,1.216572091192895e-08,-0.0006391368970035671,-0.0003252878872976872,0.00032699721643697965,5.4670068463164733e-05
odom,197.95,-0.0006059790039185339,1.2167267137716653e-08,-0.0006392897585714152,-0.0003252850893185055,0.0003269983356497251,5.466782906926711e-05
odom,198.03,-0.00060613175923697,1.2169328906801433e-08,-0.0006394426545437426,-0.00032528229118744534,0.00032699556845431916,5.466609831548358e-05
